Reaction ID	Rule	Aligned smarts	Reaction center
57	rule0348_1	CCC(O)(C(C)=O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1>>CCC(C)(O)C(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1	((1, 2, 4, 6), (3, 4, 5, 45, 46, 47))
58	rule0033_13	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2ccc(NC)nc2=O)C1O>>*OC1C(COP(*)(=O)O)OC(n2ccc(N)nc2=O)C1O.C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((14,), (17, 16))
59	rule0028_28	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((1, 3, 4),)
59	rule0129_09	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((5, 6, 7),)
61	rule0089_1	NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O.*C(O)C(=O)O>>*C(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O.O	((9,), (3, 5))
62	rule0119_1	Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2	((9, 8), (3, 4, 5, 6, 7, 47))
63	rule0028_12	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O>>O=P(O)(O)OCC1OC(O)C(O)C(O)C1O	((10, 8, 12),)
66	rule0041_07	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.*NC(CCCCNC(C)=O)C(*)=O>>*NC(CCCCN)C(*)=O.CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	((47,), (8, 7))
67	rule0016_076	O.O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O>>O=P(O)(O)O.O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	((0,), (4, 1))
69	rule0206_2	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(c2cn(C)c(=O)[nH]c2=O)C1O>>*OC1C(COP(*)(=O)O)OC(c2cn(C)c(=O)n(CCC(N)C(=O)O)c2=O)C1O.CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((2, 1), (18,))
73	rule0074_06	OCC1OC(O)C(O)C(O)C1O.O=O>>O=C1OC(CO)C(O)C(O)C1O.OO	((4, 5), (0, 1))
73	rule0074_07	OCC1OC(O)C(O)C(O)C1O.O=O>>O=C1OC(CO)C(O)C(O)C1O.OO	((6, 7), (0, 1))
74	rule0022_09	*C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.*C(=O)OCC(O)CO>>*C(=O)OCC(CO)OC(*)=O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((1, 3), (6,))
78	rule0006_177	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*C(N)C(=O)O>>*C(N)C(=O)OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O.O	((21, 22), (5,))
78	rule0006_183	*C(N)C(=O)O.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O>>*C(N)C(=O)OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O.O	((3, 5), (22,))
79	rule0055_1	NC(CCC(=O)O)C(=O)O.N>>NC(=O)CCC(N)C(=O)O.O	((4, 6), (0,))
81	rule0036_12	O=C(O)C1(O)CC(O)C(O)C(C(O)CO)O1.Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1>>Nc1ccn(C2OC(COP(=O)(O)OC3(C(=O)O)CC(O)C(O)C(C(O)CO)O3)C(O)C2O)c(=O)n1.O=P(O)(O)OP(=O)(O)O	((4,), (13, 10))
83	rule0006_163	*C(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C.*C(=O)O>>*C(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O.O	((5, 6), (3,))
83	rule0006_179	*C(=O)O.*C(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C>>*C(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O.O	((1, 3), (6,))
84	rule0080_4	O=C(CO)C(O)C(O)COP(=O)(O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	((2, 1, 0), (3, 4, 5, 45, 46, 47), (1, 0))
85	rule0014_24	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.*NC(COP(=O)(O)O)C(*)=O>>*NC(CO)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21,), (4, 5))
87	rule0015_07	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O	((11,), (22, 23))
92	rule0017_35	NC(CO)C(=O)O.O=P(O)(O)O>>NC(COP(=O)(O)O)C(=O)O.O	((3,), (2, 1))
95	rule0755_1	*NC(COP(=O)(O)OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)C(N)C(C)O)C(*)=O.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>*NC(COP(=O)(O)OCC(C)(C)C(O)C(=O)NCCC(=O)NCCS)C(*)=O.CC(O)C(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((26, 25), (2,), (17, 15))
97	rule0017_04	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCC.O=P(O)(O)O>>CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(=O)CCCCCCCCCCCCCCC.O	((30,), (2, 1))
98	rule0385_1	NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>N.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC([n+]3cccc(C(=O)O)c3)C(O)C2O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((1, 0), (2,), (17, 15))
100	rule0016_029	O.*C(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(O)C(OP(=O)(O)O)C1O)OC(*)=O>>*C(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(*)=O.O=P(O)(O)O	((0,), (16, 17))
101	rule0070_4	CCC(C)C(=O)C(=O)O.O>>CCC(C)(O)C(O)C(=O)O	((2, 4, 5), (0,))
102	rule0014_09	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=C(OP(=O)(O)O)C(O)COP(=O)(O)O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O=C(O)C(O)COP(=O)(O)O	((21,), (2, 3))
104	rule0023_12	N=C(N)NCCCCN.O=C=O>>N=C(N)NCCCC(N)C(=O)O	((7,), (1, 0))
108	rule0016_082	O.*NC(Cc1ccc(OP(=O)(O)O)cc1)C(*)=O>>*NC(Cc1ccc(O)cc1)C(*)=O.O=P(O)(O)O	((0,), (8, 9))
109	rule0014_20	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.NC(CCC(=O)OP(=O)(O)O)C(=O)O>>NC(CCC(=O)O)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21,), (6, 7))
112	rule0016_042	O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)O	((0,), (20, 21))
116	rule0015_29	*NC(CO)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*NC(COP(=O)(O)O)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((4,), (22, 23))
