Reaction ID	Rule	Aligned smarts	Reaction center
34	rule0111	*C1C(=O)N(*)C1*.O>>*NC(*)C(*)C(=O)O	((2, 4), (0,))
35	rule0031	CSCCC(N)C(=O)O.NC(=O)CCC(=O)C(=O)O>>CSCCC(=O)C(=O)O.NC(=O)CCC(N)C(=O)O	((4, 5), (5, 6))
37	rule1099	CC(=O)C(=O)C(O)CO.NC(CCS)C(=O)O>>NC(CCSCC1OC(O)C(O)C1O)C(=O)O	((7, 0, 1, 2, 3, 4), (4,))
39	rule0001	*C(=O)NC(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(OC4OC(CO)C(O)C(OC5OC(CO)C(OC6OC(CO)C(O)C(OC7(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O7)C6O)C(OC6OC(C)C(O)C(O)C6O)C5NC(C)=O)C4O)C(O)C3NC(C)=O)C2O)C(O)C1O)C(*)O.Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1>>*C(=O)NC(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(OC4OC(CO)C(O)C(OC5OC(CO)C(OC6OC(CO)C(O)C(OC7(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O7)C6O)C(O)C5NC(C)=O)C4O)C(O)C3NC(C)=O)C2O)C(O)C1O)C(*)O.CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C2O)C(O)C(O)C1O	((79, 78), (19,))
40	rule0715	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)Cc1ccccc1.CC1(C)SC2C(NC(=O)CCCC(N)C(=O)O)C(=O)N2C1C(=O)O.O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.NC(CCCC(=O)O)C(=O)O	((48, 47), (7, 6), (0,))
41	rule0040	*CC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>*C=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	((1, 2, 3),)
43	rule0021	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.NC(CCOC(=O)CCC(=O)O)C(=O)O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O.NC(CCO)C(=O)O	((47,), (5, 4))
45	rule0036	*NC(C(*)=O)C(C)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*NC(C(*)=O)C(C)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((8,), (18, 15))
46	rule0037	O=P(O)(O)OP(=O)(O)O.*C(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(*)=O>>*C(=O)OCC(COP(=O)(O)O)OC(*)=O.Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	((2,), (11, 12))
47	rule0001	*NC(C(*)=O)C(C)OC1OC(CO)C(O)C(O)C1NC(C)=O.O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1>>*NC(C(*)=O)C(C)O.CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O	((9, 8), (16,))
